"lga_id","total_facilities","total_hospitals","total_phcentres","total_phclinics","total_phclinics.1","total_sec_tertiary","improved_water_supply","improved_sanitation","power_sources_grid","any_power_available","emerg_tran","sba","delivery_services_yn","c_section_yn","antenatal_care_yn","family_planning_yn","child_health_measles_immun","vaccines_fridge_freezer","medication_anti_malarials","phcentre","phclinic","dispensary","lga","state","zone","pop_2006"
131,35,1,5,6,23,0,18,8,5,14,2,4,0,0,12,9,19,10,0,0,3,26,"Bunza","Kebbi","Northwest",121461
132,35,5,25,4,0,1,8,19,15,24,1,7,27,5,28,20,0,1,15,0,0,17,"Burutu","Delta","South-South",209666
133,33,3,13,4,12,1,27,24,12,16,3,9,0,0,32,30,30,9,0,4,7,32,"Bwari","FCT","North-Central",227216
134,54,21,12,1,16,4,20,20,25,25,37,33,30,17,41,39,0,1,14,1,4,38,"Calabar-Municipal","Cross River","South-South",179392
135,15,3,4,2,2,4,5,6,6,7,12,8,8,1,9,7,0,0,2,1,0,5,"Calabar South","Cross River","South-South",191630
136,64,11,22,18,3,10,21,17,28,32,37,32,57,20,57,51,0,1,15,4,9,50,"Chanchaga","Niger","North-Central",201429
137,51,0,2,15,33,1,6,11,4,5,4,1,3,0,10,9,0,1,3,0,0,31,"Charanchi","Katsina","Northwest",137613
138,30,2,6,4,18,0,3,4,3,4,2,3,6,2,12,9,0,1,2,0,1,10,"Chibok","Borno","Northeast",66105
139,45,5,20,16,1,3,13,14,13,17,24,19,41,6,40,36,0,1,17,2,7,40,"Chikun","Kaduna","Northwest",368250
140,9,0,6,2,1,0,3,7,4,5,3,0,6,0,9,4,0,0,3,0,0,9,"Dala","Kano","Northwest",418777
141,10,0,2,0,6,2,6,4,2,5,4,2,3,0,4,3,0,1,4,0,0,4,"Damaturu","Yobe","Northeast",88014
142,39,1,2,7,27,2,9,10,17,19,4,2,15,1,13,23,0,1,20,0,1,36,"Damban","Bauchi","Northeast",150922
143,32,2,2,2,26,0,13,14,7,14,3,1,9,1,25,6,0,0,13,1,1,26,"Dambatta","Kano","Northwest",207968
144,35,1,1,2,30,1,2,6,7,10,1,7,23,15,27,26,0,0,5,1,5,30,"Damboa","Borno","Northeast",231573
145,11,1,1,1,8,0,3,7,2,4,3,2,6,1,5,7,0,0,2,1,2,10,"Dandi","Kebbi","Northwest",144273
146,30,0,12,7,9,2,7,10,5,10,8,6,14,6,21,12,0,1,9,1,2,19,"Dandume","Katsina","Northwest",145739
147,21,0,1,3,17,0,11,10,11,13,4,3,3,2,10,14,0,0,3,0,1,20,"Dange/shuni","Sokoto","Northwest",194546
148,37,0,8,15,13,1,5,20,5,6,1,3,12,0,18,21,0,0,4,0,3,31,"Danja","Katsina","Northwest",125703
